Match No.,Date,Team 1,Team 2,Ground
1,"March 29th, 2020",MI,CSK,Mumbai
2,"March 30th, 2020",DC,KXIP,Delhi
3,"March 31st, 2020",RCB,KKR,Bengaluru
4,"April 1st, 2020",SRH,MI,Hyderabad
5,"April 2nd, 2020",CSK,RR,Chennai
6,"April 3rd, 2020",KKR,DC,Kolkata
7,"April 4th, 2020",KXIP,SRH,Mohali
8,April 5th 2020,MI,RCB,Mumbai
9,April 5th 2020,RR,DC,Jaipur
10,April 6th 2020,KKR,CSK,Kolkata
11,April 7th 2020,RCB,SRH,Bengaluru
12,April 8th 2020,KXIP,MI,Mohali
13,April 9th 2020,RR,KKR,Jaipur
14,April 10th 2020,DC,RCB,Delhi
15,April 11th 2020,CSK,KXIP,Chennai
16,April 12th 2020,SRH,RR,Hyderabad
17,April 12th 2020,KKR,MI,Kolkata
18,April 13th 2020,DC,CSK,Delhi
19,April 14th 2020,KXIP,RCB,Mohali
20,April 15th 2020,MI,RR,Mumbai
21,April 16th 2020,SRH,KKR,Hyderabad
22,April 17th 2020,KXIP,CSK,Mohali
23,April 18th 2020,RCB,RR,Bengaluru
24,April 19th 2020,DC,KKR,Delhi
25,April 19th 2020,CSK,SRH,Chennai
26,April 20th 2020,MI,KXIP,Mumbai
27,April 21st 2020,RR,SRH,Jaipur
28,April 22nd 2020,RCB,DC,Bengaluru
29,April 23rd 2020,KKR,KXIP,Kolkata
30,April 24th 2020,CSK,MI,Chennai
31,April 25th 2020,RR,RCB,Jaipur
32,April 26th 2020,KXIP,KKR,Mohali
33,April 26th 2020,SRH,DC,Hyderabad
34,April 27th 2020,CSK,RCB,Chennai
35,April 28th 2020,MI,KKR,Mumbai
36,April 29th 2020,RR,KXIP,Jaipur
37,April 30th 2020,SRH,CSK,Hyderabad
38,May 1st 2020,MI,DC,Mumbai
39,May 2nd 2020,KKR,RR,Kolkata
40,May 3rd 2020,RCB,KXIP,Bengaluru
41,May 3rd 2020,DC,SRH,Delhi
42,May 4th 2020,RR,CSK,Jaipur
43,May 5th 2020,SRH,RCB,Hyderabad
44,May 6th 2020,DC,MI,Delhi
45,May 7th 2020,CSK,KKR,Chennai
46,May 8th 2020,KXIP,RR,Mohali
47,May 9th 2020,MI,SRH,Mumbai
48,May 10th 2020,CSK,DC,Chennai
49,May 10th 2020,KKR,RCB,Kolkata
50,May 11st 2020,RR,MI,Jaipur
51,May 12th 2020,SRH,KXIP,Hyderbad
52,May 13th 2020,DC,RR,Delhi
53,May 14th 2020,RCB,CSK,Bengaluru
54,May 15th 2020,KKR,SRH,Kolkata
55,May 16th 2020,KXIP,DC,Mohali
56,May 17th 2020,RCB,MI,Bengaluru
57,May 18th 2020,TBA,TBA,Jaipur
58,May 19th 2020,TBA,TBA,Chennai
59,May 20th 2020,TBA,TBA,Delhi
60,May 21th 2020,TBA,TBA,Mumbai
