Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
RCB,KKR,KKR,140 runs,Bengaluru,"Apr 18, 2008",T20
KXIP,CSK,CSK,33 runs,Mohali,"Apr 19, 2008",T20
DC,RR,DC,9 wickets,Delhi,"Apr 19, 2008",T20
MI,RCB,RCB,5 wickets,Mumbai,"Apr 20, 2008",T20
RR,KXIP,RR,6 wickets,Jaipur,"Apr 21, 2008",T20
CSK,MI,CSK,6 runs,Chennai,"Apr 23, 2008",T20
KXIP,MI,KXIP,66 runs,Mohali,"Apr 25, 2008",T20
CSK,KKR,CSK,9 wickets,Chennai,"Apr 26, 2008",T20
RCB,RR,RR,7 wickets,Bengaluru,"Apr 26, 2008",T20
KXIP,DC,KXIP,4 wickets,Mohali,"Apr 27, 2008",T20
RCB,CSK,CSK,13 runs,Bengaluru,"Apr 28, 2008",T20
KKR,MI,MI,7 wickets,Kolkata,"Apr 29, 2008",T20
DC,RCB,DC,10 runs,Delhi,"Apr 30, 2008",T20
RR,KKR,RR,45 runs,Jaipur,"May 1, 2008",T20
CSK,DC,DC,8 wickets,Chennai,"May 2, 2008",T20
KXIP,KKR,KXIP,9 runs,Mohali,"May 3, 2008",T20
MI,DC,MI,29 runs,Mumbai,"May 4, 2008",T20
RR,CSK,RR,8 wickets,Jaipur,"May 4, 2008",T20
RCB,KXIP,KXIP,6 wickets,Bengaluru,"May 5, 2008",T20
MI,RR,MI,7 wickets,Mumbai,"May 7, 2008",T20
DC,CSK,CSK,4 wickets,Delhi,"May 8, 2008",T20
KKR,RCB,KKR,5 runs,Kolkata,"May 8, 2008",T20
CSK,KXIP,CSK,18 runs,Chennai,"May 10, 2008",T20
RR,DC,RR,3 wickets,Jaipur,"May 11, 2008",T20
KXIP,RCB,KXIP,9 wickets,Mohali,"May 12, 2008",T20
KKR,DC,KKR,23 runs,Kolkata,"May 13, 2008",T20
MI,CSK,MI,9 wickets,Mumbai,"May 14, 2008",T20
MI,KKR,MI,8 wickets,Mumbai,"May 16, 2008",T20
DC,KXIP,KXIP,6 runs,Delhi,"May 17, 2008",T20
RR,RCB,RR,65 runs,Jaipur,"May 17, 2008",T20
KKR,CSK,CSK,3 runs,Kolkata,"May 18, 2008",T20
RCB,DC,DC,5 wickets,Bengaluru,"May 19, 2008",T20
KKR,RR,RR,6 wickets,Kolkata,"May 20, 2008",T20
MI,KXIP,KXIP,1 run,Mumbai,"May 21, 2008",T20
CSK,RCB,RCB,14 runs,Chennai,"May 21, 2008",T20
DC,MI,DC,5 wickets,Delhi,"May 24, 2008",T20
CSK,RR,RR,10 runs,Chennai,"May 24, 2008",T20
KKR,KXIP,KKR,3 wickets,Kolkata,"May 25, 2008",T20
RR,MI,RR,5 wickets,Jaipur,"May 26, 2008",T20
KXIP,RR,KXIP,41 runs,Mohali,"May 28, 2008",T20
RCB,MI,MI,9 wickets,Bengaluru,"May 28, 2008",T20
DC,RR,RR,105 runs,Mumbai,"May 30, 2008",T20
CSK,KXIP,CSK,9 wickets,Mumbai,"May 31, 2008",T20
CSK,RR,RR,3 wickets,Mumbai,"Jun 1, 2008",T20
CSK,MI,MI,19 runs,Cape Town,"Apr 18, 2009",T20
RCB,RR,RCB,75 runs,Cape Town,"Apr 18, 2009",T20
DC,KXIP,DC,10 wickets,Cape Town,"Apr 19, 2009",T20
RCB,CSK,CSK,92 runs,Port Elizabeth,"Apr 20, 2009",T20
KXIP,KKR,KKR,11 runs,Durban,"Apr 21, 2009",T20
CSK,DC,DC,9 runs,Durban,"Apr 23, 2009",T20
RCB,KXIP,KXIP,7 wickets,Durban,"Apr 24, 2009",T20
